country,AU,CL,PT,TR,US,AT,BE,CH,DE,ES,FR,GB,IE,IT,JP,SE
AU,0,165.568,6.559,7.422,101887.807,341.305,437.927,3504.392,15723.175,1327.872,9659.023,84852.225,5138.727,542.149,45803.814,1406.562
CL,1.273,0,,12.211,9522.607,,4.729,38.877,87.436,213.851,273.968,1801.159,...,6.432,105.892,1.551
PT,124.338,53.478,0,245.264,1858.744,200.843,460.098,1691.815,2740.819,13373.136,5657.112,1929.208,1524.537,9277.383,163.126,104.755
TR,7.515,0.006,2.379,0,6254.099,196.68,654.780,496.095,3205.471,19.152,752.386,3836.401,815.901,804.894,308.031,10.239
US,92064,12231.000,2019.000,9755.000,0,10056,23906.000,49349.000,203689.000,29640.000,116188.000,356878.000,84200.000,48596.000,314393.000,19686.000
AT,727.292,24.096,310.509,720.983,9445.950,0,2009.113,8591.941,45733.581,5234.989,11996.417,13038.272,3420.946,4610.464,312.783,1955.347
BE,1406,137.000,443.000,530.000,11705.000,1323,0,1341.000,8040.000,7448.000,24041.000,27211.000,13545.000,4541.000,2164.000,749.000
CH,13412.436,1971.979,1777.919,5484.616,488482.878,8555.686,4328.063,0,56489.804,8985.161,61860.105,172431.772,16984.572,18067.351,20882.803,7428.305
DE,31063,2447.000,8512.000,12852.000,374714.000,50891,23306.000,75204.000,0,68401.000,175109.000,232072.000,37389.000,82885.000,43576.000,32398.000
ES,1986.662,58927.581,113014.499,64733.539,273618.400,6155.538,7185.979,8976.783,71241.420,0,93627.888,443420.021,24042.394,83171.455,11578.257,6348.144
FR,21566,3073.000,21402.000,27826.000,469286.000,10782,212965.000,70443.000,165427.000,100113.000,0,211127.000,58909.000,321131.000,191991.000,28581.000
GB,64092,4229.000,2469.000,13285.000,950527.000,4910,7532.000,54392.000,160380.000,19157.000,249875.000,0,73584.000,28892.000,171886.000,11972.000
IE,896.529,0.054,837.266,31.701,8175.977,122.791,1173.713,339.172,1194.820,3324.400,5708.562,62930.957,0,1035.556,12.550,1593.816
IT,1483.763,533.831,4440.980,12841.437,55426.875,80783.548,8552.828,18327.186,179932.043,79139.790,59124.049,51672.092,14566.403,0,15265.587,2072.659
JP,136534.1,7996.600,1516.600,10972.600,1630241.900,6642.6,36200.100,33439.100,98535.600,40170.500,201221.300,218162.900,66550.700,36856.000,0,13332.000
SE,693.235,170.111,155.539,756.889,24358.557,674.411,493.408,1874.869,19211.797,1119.790,2305.867,46644.704,4348.268,336.965,2626.829,0
